Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-06 02:21:39.3N,99.49%,233.1MiB,1GiB,
2025-07-06 02:21:41.3N,100.00%,230.9MiB,1GiB,
2025-07-06 02:21:43.3N,98.91%,233MiB,1GiB,
2025-07-06 02:21:45.3N,99.49%,236.9MiB,1GiB,
2025-07-06 02:21:47.3N,100.03%,236.9MiB,1GiB,
2025-07-06 02:21:49.3N,100.34%,235.9MiB,1GiB,
2025-07-06 02:21:51.3N,100.31%,231MiB,1GiB,
2025-07-06 02:21:53.3N,100.19%,232.9MiB,1GiB,
2025-07-06 02:21:55.3N,100.06%,233.2MiB,1GiB,
2025-07-06 02:21:57.3N,99.52%,235.2MiB,1GiB,
2025-07-06 02:21:59.3N,100.41%,239.1MiB,1GiB,
2025-07-06 02:22:01.3N,100.02%,230.8MiB,1GiB,
2025-07-06 02:22:03.3N,99.06%,233MiB,1GiB,
2025-07-06 02:22:05.3N,99.48%,237.2MiB,1GiB,
2025-07-06 02:22:07.3N,99.47%,238.9MiB,1GiB,
2025-07-06 02:22:09.3N,99.25%,239.2MiB,1GiB,
2025-07-06 02:22:11.3N,98.96%,242.4MiB,1GiB,
2025-07-06 02:22:13.3N,99.70%,239.2MiB,1GiB,
2025-07-06 02:22:15.3N,100.17%,241.1MiB,1GiB,
2025-07-06 02:22:17.3N,99.64%,243.4MiB,1GiB,
2025-07-06 02:22:19.3N,99.83%,245.1MiB,1GiB,
2025-07-06 02:22:21.3N,99.21%,244.8MiB,1GiB,
2025-07-06 02:22:23.3N,99.74%,239.1MiB,1GiB,
2025-07-06 02:22:25.3N,100.07%,241MiB,1GiB,
2025-07-06 02:22:27.3N,99.79%,245.2MiB,1GiB,
2025-07-06 02:22:29.3N,100.01%,247.1MiB,1GiB,
2025-07-06 02:22:31.3N,100.89%,245.4MiB,1GiB,
2025-07-06 02:22:33.3N,100.18%,238.8MiB,1GiB,
2025-07-06 02:22:35.3N,99.78%,243MiB,1GiB,
2025-07-06 02:22:37.3N,99.30%,243.3MiB,1GiB,
2025-07-06 02:22:39.3N,100.33%,247.2MiB,1GiB,
2025-07-06 02:22:41.3N,100.46%,247.3MiB,1GiB,
2025-07-06 02:22:43.3N,98.93%,240.8MiB,1GiB,
2025-07-06 02:22:45.3N,99.09%,243.1MiB,1GiB,
2025-07-06 02:22:47.3N,100.33%,247MiB,1GiB,
2025-07-06 02:22:49.3N,100.38%,249MiB,1GiB,
2025-07-06 02:22:51.3N,100.15%,249.2MiB,1GiB,
2025-07-06 02:22:53.3N,100.07%,244.8MiB,1GiB,
2025-07-06 02:22:55.3N,99.97%,247.3MiB,1GiB,
2025-07-06 02:22:57.3N,100.11%,250.9MiB,1GiB,
2025-07-06 02:22:59.3N,99.34%,251.1MiB,1GiB,
2025-07-06 02:23:01.3N,99.86%,252.8MiB,1GiB,
2025-07-06 02:23:03.3N,99.53%,245.2MiB,1GiB,
2025-07-06 02:23:05.3N,99.05%,247.4MiB,1GiB,
2025-07-06 02:23:07.3N,100.17%,247.2MiB,1GiB,
2025-07-06 02:23:09.3N,99.47%,249.2MiB,1GiB,
2025-07-06 02:23:11.3N,100.31%,248.1MiB,1GiB,
2025-07-06 02:23:13.3N,100.05%,242.7MiB,1GiB,
2025-07-06 02:23:15.3N,100.02%,246.7MiB,1GiB,
2025-07-06 02:23:17.3N,100.13%,246.7MiB,1GiB,
2025-07-06 02:23:19.3N,100.05%,250.9MiB,1GiB,
2025-07-06 02:23:21.3N,100.18%,250.8MiB,1GiB,
2025-07-06 02:23:23.3N,100.02%,252.9MiB,1GiB,
2025-07-06 02:23:25.3N,99.77%,255.2MiB,1GiB,
